DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 09:51:38 2020, 20.25,54.55,1006.86,30.32,6.5,66.94, 
Tue Apr 21 09:53:19 2020, 20.24,54.51,1006.8,30.22,6.5,63.31, 
Tue Apr 21 09:55:01 2020, 20.3,54.34,1006.76,29.87,6.5,46.91, 
Tue Apr 21 09:56:43 2020, 20.46,54.03,1006.78,29.23,6.5,116.27, 
Tue Apr 21 09:58:24 2020, 20.54,53.78,1006.8,28.71,6.5,60.1, 
Tue Apr 21 10:00:06 2020, 20.61,53.65,1006.86,28.44,6.5,59.57, 
Tue Apr 21 10:01:47 2020, 20.64,53.53,1006.84,28.18,6.5,67.5, 
Tue Apr 21 10:03:29 2020, 20.66,53.5,1006.84,28.12,6.5,96.89, 
Tue Apr 21 10:05:11 2020, 20.68,53.38,1006.86,27.87,6.5,53.88, 
Tue Apr 21 10:06:53 2020, 20.73,53.18,1006.82,27.47,6.5,88.41, 
Tue Apr 21 10:08:34 2020, 20.76,53.13,1006.88,27.35,6.5,81.7, 
Tue Apr 21 10:10:16 2020, 20.79,53.14,1006.86,27.38,6.5,149.85, 
Tue Apr 21 10:11:57 2020, 20.8,53.17,1006.86,27.43,6.5,139.48, 
Tue Apr 21 10:13:39 2020, 20.82,53.13,1006.84,27.35,6.5,137.41, 
Tue Apr 21 10:15:21 2020, 20.83,53.13,1006.89,27.36,6.5,5.76, 
Tue Apr 21 10:17:02 2020, 20.84,52.73,1006.82,26.53,6.5,41.06, 
Tue Apr 21 10:18:44 2020, 20.84,53.15,1006.89,27.4,6.5,44.15, 
Tue Apr 21 10:20:25 2020, 20.87,53.15,1006.84,27.39,6.5,0.62, 
Tue Apr 21 10:22:07 2020, 20.88,52.51,1006.91,26.06,6.5,132.69, 
Tue Apr 21 10:23:48 2020, 20.9,52.54,1006.89,26.12,6.5,50.31, 
Tue Apr 21 10:25:30 2020, 20.87,52.53,1006.86,26.1,6.5,5.87, 
Tue Apr 21 10:27:12 2020, 20.81,52.46,1006.91,25.97,6.5,74.7, 
Tue Apr 21 10:28:54 2020, 20.75,52.75,1006.93,26.56,6.5,93.67, 
Tue Apr 21 10:30:35 2020, 20.71,52.83,1006.84,26.72,6.5,154.59, 
Tue Apr 21 10:32:17 2020, 20.7,53.06,1006.82,27.21,6.5,105.99, 
Tue Apr 21 10:33:58 2020, 20.68,53.24,1006.89,27.58,6.5,52.78, 
Tue Apr 21 10:35:40 2020, 20.67,53.08,1006.91,27.26,6.5,129.29, 
Tue Apr 21 10:37:21 2020, 20.65,53.1,1006.88,27.3,6.5,117.14, 
Tue Apr 21 10:39:03 2020, 20.64,52.77,1006.86,26.61,6.5,120.13, 
Tue Apr 21 10:40:44 2020, 20.64,52.63,1006.93,26.31,6.5,68.14, 
Tue Apr 21 10:42:26 2020, 20.64,52.71,1006.95,26.47,6.5,95.38, 
Tue Apr 21 10:44:07 2020, 20.64,52.57,1006.84,26.19,6.5,67.73, 
Tue Apr 21 10:45:49 2020, 20.66,52.37,1006.93,25.77,6.5,102.66, 
Tue Apr 21 10:47:31 2020, 20.67,52.41,1006.93,25.85,6.5,48.42, 
Tue Apr 21 10:49:12 2020, 20.68,52.37,1006.86,25.78,6.5,50.03, 
Tue Apr 21 10:50:53 2020, 20.7,52.72,1006.84,26.49,6.5,72.22, 
Tue Apr 21 10:52:35 2020, 20.69,52.66,1006.82,26.38,6.5,70.25, 
Tue Apr 21 10:54:17 2020, 20.69,52.51,1006.88,26.06,6.5,79.43, 
Tue Apr 21 10:55:58 2020, 20.68,52.56,1006.88,26.16,6.5,52.47, 
Tue Apr 21 10:57:40 2020, 20.66,52.39,1006.89,25.81,6.5,39.19, 
Tue Apr 21 10:59:21 2020, 20.67,52.13,1006.88,25.26,6.5,83.54, 
Tue Apr 21 11:01:03 2020, 20.66,52.27,1006.91,25.57,6.5,19.71, 
Tue Apr 21 11:02:45 2020, 20.66,52.32,1006.89,25.68,6.5,0.85, 
Tue Apr 21 11:04:26 2020, 20.65,52.45,1006.93,25.93,6.5,52.08, 
Tue Apr 21 11:06:08 2020, 20.68,52.35,1006.89,25.74,6.5,56.42, 
Tue Apr 21 11:07:49 2020, 20.69,52.33,1006.91,25.68,6.5,83.31, 
Tue Apr 21 11:09:31 2020, 20.69,52.46,1006.88,25.95,6.5,145.13, 
Tue Apr 21 11:11:13 2020, 20.69,52.53,1006.86,26.11,6.5,33.88, 
Tue Apr 21 11:12:54 2020, 20.7,52.57,1006.93,26.18,6.5,58.92, 
Tue Apr 21 11:14:36 2020, 20.73,52.34,1006.86,25.7,6.5,82.44, 
Tue Apr 21 11:16:18 2020, 20.73,52.49,1006.93,26.03,6.5,44.15, 
Tue Apr 21 11:18:00 2020, 20.72,52.6,1006.93,26.25,6.5,47.69, 
Tue Apr 21 11:19:41 2020, 20.71,52.6,1006.91,26.25,6.5,48.35, 
Tue Apr 21 11:21:23 2020, 20.73,52.59,1006.97,26.23,6.5,54.46, 
