DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 10:19:35 2020, 16.71,53.42,1006.58,27.96,6.5,96.1, 
Tue Apr 21 10:21:16 2020, 16.74,52.89,1006.54,26.86,6.5,144.8, 
Tue Apr 21 10:22:57 2020, 16.77,52.83,1006.56,26.73,6.5,0.62, 
Tue Apr 21 10:24:39 2020, 16.83,53.23,1006.58,27.56,6.5,99.76, 
Tue Apr 21 10:26:21 2020, 16.88,52.84,1006.58,26.75,6.5,104.61, 
Tue Apr 21 10:28:03 2020, 16.92,52.84,1006.62,26.76,6.5,104.57, 
Tue Apr 21 10:29:45 2020, 16.94,52.62,1006.6,26.29,6.5,126.25, 
Tue Apr 21 10:31:26 2020, 16.97,52.64,1006.6,26.34,6.5,4.62, 
Tue Apr 21 10:33:07 2020, 17.02,52.65,1006.62,26.35,6.5,58.79, 
Tue Apr 21 10:34:48 2020, 17.07,52.65,1006.64,26.36,6.5,25.39, 
Tue Apr 21 10:36:31 2020, 17.11,52.65,1006.66,26.36,6.5,42.89, 
Tue Apr 21 10:38:12 2020, 17.17,52.47,1006.62,25.97,6.5,17.19, 
Tue Apr 21 10:39:53 2020, 17.19,52.29,1006.72,25.61,6.5,95.79, 
Tue Apr 21 10:41:35 2020, 17.22,52.31,1006.62,25.64,6.5,117.34, 
Tue Apr 21 10:43:17 2020, 17.26,52.31,1006.62,25.65,6.5,15.4, 
Tue Apr 21 10:44:58 2020, 17.32,52.2,1006.6,25.42,6.5,101.25, 
Tue Apr 21 10:46:40 2020, 17.34,52.18,1006.66,25.38,6.5,53.16, 
Tue Apr 21 10:48:21 2020, 17.38,52.24,1006.68,25.5,6.5,3.1, 
Tue Apr 21 10:50:03 2020, 17.42,52.22,1006.64,25.47,6.5,23.57, 
Tue Apr 21 10:51:44 2020, 17.52,52.3,1006.68,25.63,6.5,6.81, 
Tue Apr 21 10:53:26 2020, 17.48,51.88,1006.64,24.74,6.5,78.52, 
Tue Apr 21 10:55:07 2020, 17.39,51.87,1006.62,24.73,6.5,99.57, 
Tue Apr 21 10:56:49 2020, 17.35,51.78,1006.7,24.55,6.5,53.16, 
Tue Apr 21 10:58:30 2020, 17.32,51.7,1006.64,24.37,6.5,12.79, 
Tue Apr 21 11:00:12 2020, 17.31,51.58,1006.66,24.14,6.5,9.49, 
Tue Apr 21 11:01:53 2020, 17.3,51.47,1006.64,23.89,6.5,0.62, 
Tue Apr 21 11:03:35 2020, 17.32,51.43,1006.66,23.8,6.5,103.42, 
Tue Apr 21 11:05:17 2020, 17.32,51.34,1006.7,23.63,6.5,0.75, 
Tue Apr 21 11:06:58 2020, 17.31,51.33,1006.66,23.6,6.5,0.7, 
Tue Apr 21 11:08:40 2020, 17.31,51.33,1006.62,23.6,6.5,120.34, 
Tue Apr 21 11:10:21 2020, 17.32,51.23,1006.7,23.4,6.5,45.43, 
Tue Apr 21 11:12:03 2020, 17.33,51.16,1006.62,23.26,6.5,24.77, 
Tue Apr 21 11:13:45 2020, 17.33,51.15,1006.6,23.23,6.5,21.19, 
Tue Apr 21 11:15:27 2020, 17.34,51.08,1006.68,23.08,6.5,43.26, 
Tue Apr 21 11:17:08 2020, 17.35,51.06,1006.64,23.05,6.5,127.39, 
Tue Apr 21 11:18:50 2020, 17.37,50.96,1006.66,22.83,6.5,0.78, 
Tue Apr 21 11:20:32 2020, 17.38,51.03,1006.72,22.98,6.5,63.95, 
Tue Apr 21 11:22:13 2020, 17.38,51.0,1006.62,22.92,6.5,144.38, 
Tue Apr 21 11:23:55 2020, 17.4,50.88,1006.66,22.66,6.5,0.62, 
Tue Apr 21 11:25:37 2020, 17.43,50.9,1006.7,22.7,6.5,46.04, 
Tue Apr 21 11:27:19 2020, 17.44,50.88,1006.66,22.66,6.5,47.54, 
Tue Apr 21 11:29:00 2020, 17.44,50.87,1006.66,22.65,6.5,22.17, 
